TransactionID,CustomerID,ProductID,Quantity,Price
301,CUST49,PROD9,1,43.79
302,CUST15,PROD5,4,32.43
303,CUST42,PROD4,9,32.75
304,CUST38,PROD17,8,30.15
305,CUST14,PROD20,6,5.36
306,CUST47,PROD11,4,42.3
307,CUST7,PROD10,10,41.93
308,CUST7,PROD1,2,30.94
309,CUST31,PROD19,8,17.16
310,CUST41,PROD11,3,30.17
311,CUST37,PROD4,8,29.98
312,CUST33,PROD6,9,37.94
313,CUST10,PROD6,3,48.07
314,CUST46,PROD14,10,32.48
315,CUST45,PROD19,5,36.98
316,CUST7,PROD13,4,10.76
317,CUST36,PROD15,10,10.03
318,CUST15,PROD6,6,32.78
319,CUST48,PROD20,9,49.11
320,CUST46,PROD12,6,45.74
321,CUST14,PROD20,6,45.56
322,CUST43,PROD2,1,44.64
323,CUST3,PROD7,4,34.1
324,CUST28,PROD1,9,35.15
325,CUST28,PROD11,8,49.52
326,CUST47,PROD17,10,31.86
327,CUST4,PROD18,5,18.03
328,CUST50,PROD4,8,39.39
329,CUST34,PROD5,7,39.08
330,CUST48,PROD16,9,19.56
331,CUST42,PROD1,10,5.57
332,CUST28,PROD1,8,7.08
333,CUST43,PROD8,6,20.75
334,CUST21,PROD7,5,43.06
335,CUST12,PROD12,10,10.02
336,CUST38,PROD13,7,28.55
337,CUST19,PROD6,2,8.76
338,CUST30,PROD18,3,49.97
339,CUST30,PROD18,6,19.21
340,CUST41,PROD8,5,30.46
341,CUST24,PROD5,7,12.22
342,CUST30,PROD15,4,23.28
343,CUST38,PROD15,2,7.02
344,CUST3,PROD10,3,44.64
345,CUST47,PROD17,6,31.78
346,CUST49,PROD5,9,6.62
347,CUST18,PROD10,8,17.02
348,CUST15,PROD16,9,15.57
349,CUST8,PROD5,6,19.5
350,CUST38,PROD7,7,10.56
351,CUST5,PROD13,9,10.2
352,CUST3,PROD4,4,24.98
353,CUST9,PROD12,1,15.46
354,CUST43,PROD18,9,12.82
355,CUST41,PROD12,10,17.78
356,CUST35,PROD13,5,29.21
357,CUST44,PROD4,8,22.26
358,CUST19,PROD20,8,25.04
359,CUST7,PROD16,5,31.93
360,CUST38,PROD11,8,5.8
361,CUST8,PROD19,3,39.27
362,CUST21,PROD19,10,33.6
363,CUST50,PROD8,5,24.31
364,CUST20,PROD5,3,37.6
365,CUST50,PROD8,4,12.39
366,CUST18,PROD16,9,15.12
367,CUST1,PROD10,3,44.37
368,CUST16,PROD12,10,42.32
369,CUST23,PROD8,5,41.08
370,CUST50,PROD11,5,26.88
371,CUST22,PROD9,1,18.34
372,CUST24,PROD16,9,27.29
373,CUST28,PROD13,6,36.09
374,CUST4,PROD2,5,49.57
375,CUST43,PROD20,8,9.45
376,CUST36,PROD14,2,28.78
377,CUST18,PROD14,1,46.46
378,CUST30,PROD5,9,44.2
379,CUST30,PROD8,10,8.03
380,CUST5,PROD3,9,41.73
381,CUST18,PROD16,9,22.96
382,CUST9,PROD14,10,26.94
383,CUST14,PROD3,1,24.81
384,CUST36,PROD6,5,42.32
385,CUST48,PROD20,3,11.24
386,CUST20,PROD2,9,42.43
387,CUST34,PROD5,9,23.59
388,CUST12,PROD9,10,30.84
389,CUST41,PROD15,8,38.28
390,CUST32,PROD12,1,46.32
391,CUST9,PROD2,1,35.08
392,CUST41,PROD12,5,16.23
393,CUST12,PROD12,4,22.93
394,CUST49,PROD8,8,15.2
395,CUST44,PROD10,6,26.25
396,CUST32,PROD5,3,35.76
397,CUST42,PROD15,5,31.12
398,CUST7,PROD19,7,42.71
399,CUST3,PROD17,3,5.3
400,CUST28,PROD11,4,17.94
