TransactionID,CustomerID,ProductID,Quantity,Price
201,CUST10,PROD6,1,25.39
202,CUST24,PROD6,10,25.41
203,CUST13,PROD17,5,49.23
204,CUST49,PROD16,3,33.97
205,CUST21,PROD18,10,14.39
206,CUST38,PROD3,3,9.63
207,CUST46,PROD2,8,20.26
208,CUST29,PROD8,8,12.07
209,CUST13,PROD10,9,6.73
210,CUST20,PROD12,5,22.0
211,CUST34,PROD18,10,19.41
212,CUST5,PROD7,10,16.33
213,CUST38,PROD8,1,29.39
214,CUST11,PROD13,6,30.53
215,CUST4,PROD3,1,35.76
216,CUST6,PROD4,5,25.88
217,CUST40,PROD20,8,20.35
218,CUST8,PROD6,5,19.09
219,CUST39,PROD6,2,48.62
220,CUST21,PROD17,9,45.51
221,CUST11,PROD18,10,36.07
222,CUST39,PROD13,5,22.87
223,CUST37,PROD6,5,49.07
224,CUST33,PROD9,3,32.23
225,CUST48,PROD12,7,12.38
226,CUST21,PROD15,5,45.72
227,CUST18,PROD8,8,28.89
228,CUST42,PROD16,2,26.15
229,CUST15,PROD16,6,24.32
230,CUST40,PROD3,4,18.94
231,CUST3,PROD15,7,7.1
232,CUST9,PROD16,4,20.18
233,CUST43,PROD8,9,16.55
234,CUST3,PROD4,10,47.09
235,CUST50,PROD2,3,16.79
236,CUST6,PROD15,7,15.87
237,CUST41,PROD4,1,15.25
238,CUST37,PROD17,5,17.74
239,CUST4,PROD9,7,22.68
240,CUST5,PROD13,10,44.88
241,CUST7,PROD12,7,20.86
242,CUST33,PROD5,1,34.56
243,CUST11,PROD17,7,45.77
244,CUST10,PROD2,6,27.86
245,CUST42,PROD18,8,37.5
246,CUST28,PROD2,6,12.89
247,CUST2,PROD11,2,45.86
248,CUST35,PROD9,5,47.54
249,CUST7,PROD10,3,6.63
250,CUST22,PROD16,4,30.63
251,CUST6,PROD17,2,38.63
252,CUST34,PROD1,1,39.4
253,CUST15,PROD17,10,9.2
254,CUST5,PROD17,2,5.9
255,CUST19,PROD11,1,5.37
256,CUST47,PROD16,2,42.02
257,CUST8,PROD19,6,12.6
258,CUST38,PROD6,9,9.0
259,CUST8,PROD19,1,42.99
260,CUST41,PROD5,3,43.99
261,CUST13,PROD18,4,39.05
262,CUST25,PROD13,10,23.45
263,CUST48,PROD19,10,36.43
264,CUST39,PROD12,9,28.41
265,CUST21,PROD3,7,13.81
266,CUST8,PROD11,6,38.11
267,CUST24,PROD6,1,12.15
268,CUST34,PROD3,9,17.93
269,CUST42,PROD3,3,19.27
270,CUST9,PROD16,4,22.14
271,CUST32,PROD10,1,25.11
272,CUST37,PROD17,2,42.28
273,CUST49,PROD15,4,22.97
274,CUST3,PROD17,2,31.36
275,CUST32,PROD16,3,26.04
276,CUST21,PROD14,7,16.24
277,CUST42,PROD3,2,38.01
278,CUST3,PROD16,7,44.55
279,CUST18,PROD18,4,8.56
280,CUST12,PROD12,9,44.63
281,CUST16,PROD4,5,27.04
282,CUST23,PROD17,4,48.38
283,CUST1,PROD19,6,25.25
284,CUST23,PROD9,1,21.05
285,CUST32,PROD19,10,6.89
286,CUST4,PROD9,4,27.85
287,CUST17,PROD2,3,21.05
288,CUST31,PROD2,1,26.42
289,CUST35,PROD4,3,33.01
290,CUST6,PROD11,9,45.24
291,CUST3,PROD6,5,23.23
292,CUST18,PROD13,4,20.81
293,CUST48,PROD3,4,18.1
294,CUST30,PROD17,9,5.31
295,CUST18,PROD5,2,49.95
296,CUST50,PROD5,5,43.72
297,CUST23,PROD3,5,45.7
298,CUST30,PROD3,7,48.87
299,CUST48,PROD4,9,14.33
300,CUST18,PROD17,3,13.59
