TransactionID,CustomerID,ProductID,Quantity,Price
1,CUST10,PROD12,8,22.56
2,CUST19,PROD1,7,9.81
3,CUST29,PROD8,7,31.06
4,CUST38,PROD12,4,48.5
5,CUST9,PROD16,1,28.86
6,CUST20,PROD13,3,24.22
7,CUST38,PROD13,9,11.84
8,CUST3,PROD9,4,15.62
9,CUST34,PROD3,4,31.23
10,CUST25,PROD15,4,23.87
11,CUST17,PROD13,4,7.35
12,CUST8,PROD7,4,49.46
13,CUST2,PROD11,5,30.66
14,CUST9,PROD5,8,34.18
15,CUST26,PROD10,7,33.56
16,CUST41,PROD18,4,23.57
17,CUST7,PROD2,9,10.13
18,CUST11,PROD13,4,41.98
19,CUST8,PROD15,3,17.5
20,CUST38,PROD14,9,11.9
21,CUST14,PROD11,6,23.56
22,CUST13,PROD13,9,35.36
23,CUST46,PROD5,2,30.41
24,CUST4,PROD5,3,13.1
25,CUST48,PROD3,4,27.59
26,CUST41,PROD17,1,21.85
27,CUST16,PROD14,1,39.94
28,CUST4,PROD15,1,16.96
29,CUST23,PROD5,5,9.38
30,CUST50,PROD12,3,44.87
31,CUST19,PROD6,10,20.17
32,CUST27,PROD13,9,14.34
33,CUST23,PROD13,9,14.61
34,CUST40,PROD3,4,48.25
35,CUST1,PROD9,4,25.48
36,CUST35,PROD3,3,6.91
37,CUST10,PROD8,2,41.01
38,CUST6,PROD4,3,32.01
39,CUST29,PROD8,5,14.05
40,CUST22,PROD11,3,26.06
41,CUST7,PROD8,4,25.8
42,CUST28,PROD10,5,42.37
43,CUST1,PROD17,9,37.08
44,CUST18,PROD1,6,25.16
45,CUST29,PROD19,4,5.15
46,CUST43,PROD5,9,24.57
47,CUST35,PROD19,7,27.39
48,CUST1,PROD16,8,25.46
49,CUST29,PROD3,9,27.57
50,CUST30,PROD2,5,17.5
51,CUST30,PROD18,1,15.97
52,CUST46,PROD1,8,33.83
53,CUST19,PROD4,7,6.71
54,CUST47,PROD18,2,5.35
55,CUST33,PROD18,2,32.8
56,CUST13,PROD13,7,36.06
57,CUST31,PROD3,9,15.91
58,CUST13,PROD18,5,27.15
59,CUST10,PROD13,5,49.84
60,CUST20,PROD5,9,35.03
61,CUST43,PROD8,10,42.27
62,CUST12,PROD5,8,30.74
63,CUST49,PROD9,10,40.95
64,CUST25,PROD16,8,49.98
65,CUST10,PROD14,6,43.01
66,CUST49,PROD13,1,11.29
67,CUST1,PROD2,4,40.62
68,CUST46,PROD1,6,30.0
69,CUST40,PROD11,10,48.23
70,CUST37,PROD8,2,18.52
71,CUST24,PROD12,9,14.68
72,CUST22,PROD15,5,18.41
73,CUST35,PROD5,1,5.85
74,CUST31,PROD14,5,40.65
75,CUST2,PROD18,8,44.65
76,CUST30,PROD8,1,22.81
77,CUST18,PROD20,1,38.03
78,CUST39,PROD6,5,12.3
79,CUST8,PROD2,5,25.29
80,CUST20,PROD20,2,28.14
81,CUST19,PROD2,10,44.79
82,CUST7,PROD6,10,23.23
83,CUST48,PROD16,1,45.77
84,CUST43,PROD5,8,24.79
85,CUST36,PROD13,5,10.46
86,CUST34,PROD11,6,9.77
87,CUST37,PROD5,8,33.48
88,CUST1,PROD4,8,5.1
89,CUST10,PROD15,2,30.83
90,CUST33,PROD16,1,46.6
91,CUST41,PROD17,6,34.65
92,CUST19,PROD9,5,18.44
93,CUST17,PROD15,6,6.56
94,CUST18,PROD8,2,22.49
95,CUST40,PROD8,2,12.43
96,CUST12,PROD1,8,37.62
97,CUST50,PROD14,3,40.97
98,CUST13,PROD7,2,42.15
99,CUST47,PROD7,4,42.93
100,CUST28,PROD19,2,34.7
